,brand,model,model_year,milage,fuel_type,engine,transmission,accident,price
25,Hyundai,Elantra N Base,2022,11650,0,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32300
26,Nissan,Sentra SR,2016,96541,0,1.8 Liter,Automatic,0,13998
27,Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,0,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,59995
28,BMW,650 Gran Coupe i xDrive,2015,69000,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,25700
29,Audi,Q5 2.0T Premium Plus,2017,81880,3,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,0,21375
30,Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,0,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,48000
31,Dodge,Ram 1500 Laramie Mega Cab,2006,300183,0,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,1,10900
32,BMW,i3 120Ah w/Range Extender,2020,35035,2,120 AH,Automatic,0,24998
33,Kia,Sorento SX,2011,171000,0,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,5999
34,Lexus,LX 570 Base,2016,118700,0,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,46900
35,Jeep,New Compass Trailhawk,2017,119000,0,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,0,15900
36,BMW,340 i,2018,44261,0,3.0 Liter Turbo,Automatic,0,33598
37,Audi,A4 2.0T Premium Plus quattro,2012,125575,0,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,8999
38,Hyundai,Tucson SE,2007,16200,0,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,0,8200
39,BMW,Z4 sDrive28i,2014,70000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,1,20000
40,Bentley,Continental GTC Base,2011,20200,3,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,0,79950
41,Honda,Passport Elite,2023,2978,0,3.5 Liter SOHC,Automatic,0,45498
42,Dodge,Sprinter 2500,2007,189719,1,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,1,14000
43,BMW,M850 i xDrive,2019,9949,0,4.4 Liter DOHC Twin Turbo,Automatic,0,75798
45,Audi,A7 Premium,2012,54000,0,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,36880
46,Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,0,5.3L V8 16V GDI OHV,Automatic,0,43147
47,MINI,Convertible John Cooper Works,2017,24280,0,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,29000
48,Toyota,Avalon Touring,2016,89148,0,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,17500
49,Porsche,Cayenne Platinum Edition,2017,73043,0,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,30990
50,Mercedes-Benz,AMG C 63 S,2017,60000,0,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,52500
51,Honda,CR-V EX-L,2016,73549,0,2.4L I4 16V GDI DOHC,Automatic CVT,1,20848
52,Hummer,H2 Base,2005,110900,0,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,19500
53,Porsche,911 Carrera S,2013,39000,0,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,73000
54,Mercedes-Benz,CLA-Class CLA 250,2016,120000,0,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,19800
55,Chrysler,300 Touring,2009,134602,0,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,7500
56,Nissan,Rogue SV,2023,1094,0,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,0,30999
57,Audi,A3 2.0T,2010,83500,0,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,6500
58,Ford,Mustang GT Premium,2014,37060,0,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,28500
59,Acura,RL Technology,2010,97700,0,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,10995
60,Volvo,XC90 Hybrid T8 R-Design,2018,40000,4,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,0,42000
62,Mercedes-Benz,GLK-Class GLK 350,2014,186000,0,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,1,10000
63,Toyota,C-HR LE,2021,13180,0,2.0 Liter,CVT-F,0,23998
64,Lexus,IS 350 Base,2014,104000,0,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,21000
65,BMW,X4 M40i,2023,8500,2,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,0,67900
66,BMW,M4 CS,2019,19069,0,3.0 Liter DOHC Turbo,Automatic,0,69998
67,Cadillac,CT5 Premium Luxury,2023,6090,0,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,46900
69,Audi,A5 2.0T Premium Plus,2019,47523,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,31000
70,Chrysler,300C SRT8,2006,43000,0,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,1,19995
72,BMW,M4 Base,2019,57800,0,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,55999
73,Toyota,GR Corolla Circuit Edition,2023,952,0,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,49950
74,Audi,RS 5 2.9T,2019,21240,0,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,59950
75,Porsche,Cayenne Base,2019,59338,0,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,42499
77,Maserati,Quattroporte S,2019,23230,0,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,44999
78,Jaguar,XF 35t R-Sport,2017,48000,0,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,1,30000
79,Lexus,ES 330 Base,2005,41059,0,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,11100
80,Land,Rover Discovery Sport SE R-Dynamic,2020,21240,0,2.0 Liter,Automatic,0,37998
81,Porsche,Cayman GTS,2015,11500,0,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,72000
82,Genesis,G90 3.3T Premium,2021,9950,0,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,53950
83,Volkswagen,Golf R 20th Anniversary Edition,2023,633,0,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,47999
84,Hyundai,Sonata Hybrid Limited,2015,66000,2,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,1,15900
85,Audi,RS 7 4.0T Prestige,2014,59715,0,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,1,45000
86,BMW,740 Li,2012,85252,0,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,18500
87,Mercedes-Benz,GLS 450 Base 4MATIC,2020,17900,2,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,1,80000
88,BMW,M6 Base,2016,25500,0,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,55000
89,Subaru,Forester 2.5 X,2004,210703,0,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,0,2300
90,Hyundai,Elantra N Base,2023,3800,0,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,34000
91,Kia,Niro Plug-In Hybrid EX Premium,2022,36602,2,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,0,31995
94,Mercedes-Benz,SLC 300 Base,2018,33000,0,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,1,29900
95,BMW,435 Gran Coupe i,2016,76009,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,24950
96,Jeep,Grand Cherokee Summit,2020,31349,0,5.7L V8 16V MPFI OHV,8-Speed Automatic,0,39366
97,Lexus,RC 350 Base,2015,48000,0,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32900
98,BMW,525 i,2005,91420,0,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,8900
99,Toyota,Corolla LE,2003,124756,0,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,1,4995
101,GMC,Acadia SLT-1,2012,116226,0,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,7900
102,Lexus,LC 500 Base,2020,37869,0,5.0L V8 32V PDI DOHC,10-Speed Automatic,0,75950
103,BMW,i8 Base,2019,41500,4,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,0,86000
104,Lexus,ES 300h Base,2013,87001,2,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,0,17995
105,Cadillac,CT5-V V-Series,2022,4451,0,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,1,55655
106,BMW,540 i xDrive,2020,27158,0,2.0 Liter Turbo,Automatic,0,39998
107,Chevrolet,Express 1500 Work Van,2014,139804,0,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,1,14500
108,Jeep,Gladiator Rubicon,2022,27300,0,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,47500
109,BMW,Z4 sDrive28i,2014,36812,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,27000
110,Land,Rover LR4 HSE LUX Landmark Edition,2016,144000,0,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,18000
111,Cadillac,XT4 Sport,2019,44500,0,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,0,28900
112,BMW,750 750i xDrive,2021,10917,0,4.4 Liter Twin Turbo,Automatic,0,73998
113,Bentley,Arnage R,2005,8332,0,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,47350
114,Lincoln,Aviator Reserve AWD,2020,51247,0,3.0 Liter GTDI,Automatic,0,47698
115,Mercedes-Benz,AMG GL AMG GL 63 4MATIC,2016,69000,0,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,36500
116,RAM,ProMaster 3500 High Roof,2021,147834,0,3.6L V6 24V MPFI DOHC,6-Speed Automatic,0,32662
117,Ford,Utility Police Interceptor Base,2013,105000,3,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,1,6600
118,Audi,A5 2.0T Premium,2011,92203,0,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,9995
119,Nissan,GT-R Premium,2010,15600,0,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,69500
120,Land,Rover Range Rover Sport 3.0L Supercharged HSE,2018,104700,0,V6,Automatic,1,30775
121,Toyota,Corolla LE,2010,72348,0,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,1,9995
123,Mercedes-Benz,C-Class C300 4MATIC,2022,13177,0,2.0 Liter Turbo,Automatic,0,44798
124,Porsche,Cayenne E-Hybrid S,2016,96000,4,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,1,23000
125,Chevrolet,Express 1500 Work Van,2011,93009,3,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,0,22495
126,INFINITI,Q70h Base,2016,52750,2,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,1,28998
127,Audi,A7 Premium Plus,2020,25361,2,3.0 Liter Turbo,Automatic,0,49998
128,Audi,Q7 3.0T Premium Plus,2015,98527,0,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,9995
131,Audi,TTS 2.0T Premium Plus,2012,72922,0,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,25999
132,BMW,650 Gran Coupe i xDrive,2015,41000,0,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,30000
133,Subaru,Forester Premium,2021,42125,0,2.5L H4 16V GDI DOHC,Automatic CVT,0,27899
134,Mercedes-Benz,AMG C AMG C 63,2016,62000,0,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,40000
135,Land,Rover LR3 HSE,2006,153843,0,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,9950
136,BMW,X7 xDrive40i,2019,35248,0,3.0 Liter Twin Turbo,Automatic,0,53998
137,Ford,Transit Connect XLT,2015,194454,0,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,9888
138,Lexus,LX 570 Three-Row,2021,21000,0,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,89999
139,Porsche,911 Carrera S,2013,18494,0,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,0,86900
140,Dodge,Ram 2500 Laramie Quad Cab,2006,218000,0,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,12990
141,Nissan,Armada SL,2021,67800,0,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,1,36500
142,Porsche,Cayman Base,2014,79000,0,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,42999
143,Mercedes-Benz,GLE 450 GLE 450,2022,24906,2,3.0 Liter Turbo,Automatic,0,63998
144,Chevrolet,Monte Carlo SS,2006,66840,0,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,1,12000
145,BMW,M5 Base,2013,86000,0,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32000
146,Hyundai,Kona N Base,2023,654,0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,0,34599
147,Chevrolet,Monte Carlo SS,2005,75000,0,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,0,12500
148,Land,Rover Range Rover Evoque Pure,2015,84000,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,1,22800
149,Audi,S7 4.0T Premium Plus,2017,52500,0,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,39999
150,GMC,Acadia SLT-1,2011,120000,0,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,7500
151,Alfa,Romeo Stelvio Ti Sport,2020,18665,0,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,0,35645
153,Kia,K900 5.0L,2017,36486,0,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,23950
154,Ford,E150 XLT,2013,162100,3,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,0,12500
156,Toyota,4Runner SR5,2022,28377,0,4.0L V6 24V MPFI DOHC,5-Speed Automatic,0,36999
157,Subaru,Forester Base,2020,32744,0,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,0,24000
158,Porsche,Panamera 2,2012,54000,0,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,1,26000
159,Toyota,Tacoma PreRunner,2008,202055,0,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,1,8500
160,RAM,2500 Laramie,2019,65000,1,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,0,65000
161,Kia,Sportage Nightfall,2022,9686,0,2.4L I4 16V GDI DOHC,6-Speed Automatic,0,30990
162,Cadillac,DTS Base,2010,49620,0,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,0,10499
163,Toyota,Land Cruiser Base,1997,213000,0,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,4-Speed A/T,0,26500
165,Lexus,NX 350 F SPORT Handling,2023,820,0,2.4 Liter,8-SPEED AT,0,51998
166,Audi,Q7 45 Premium Plus,2021,68000,0,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,36499
167,Lexus,LX 470 Base,1999,82000,0,230.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,0,25000
168,GMC,Terrain SLE,2022,27352,0,1.5L I4 16V GDI DOHC Turbo,9-Speed Automatic,0,27785
169,Ford,Escape Limited,2012,129000,0,171.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,1,7000
170,Lexus,LS 460 L,2014,106731,0,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,30000
171,Ford,Expedition Platinum,2019,34672,0,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,0,45500
172,Chevrolet,Malibu LTZ,2010,55900,0,252.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,8950
174,Audi,A5 2.0T Premium Plus,2015,82000,0,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,17000
175,Genesis,G70 2.0T,2023,4785,0,2.0L I4 16V GDI DOHC Turbo,Automatic,0,42850
176,Chevrolet,Trailblazer LS,2021,20497,0,1.3L I3 12V GDI DOHC Turbo,9-Speed Automatic,0,22999
177,Scion,tC Base,2013,177600,0,180.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,1,7100
178,Lincoln,MKZ Hybrid Base,2014,78568,2,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,0,15500
179,Ford,Transit-350 XL,2018,95000,3,275.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,0,43000
181,Ford,Explorer Timberline,2021,25240,0,2.3L I4 16V GDI DOHC Turbo,10-Speed Automatic,1,39951
182,Volvo,XC90 3.2,2011,88300,0,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,1,11500
183,Chevrolet,Avalanche LTZ,2013,98000,3,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,1,27499
184,Audi,TT RS 2.5T,2018,20675,0,400.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,76000
185,Lincoln,Navigator L,2008,95000,0,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,A/T,0,10900
186,Hyundai,Elantra GLS,2010,107000,0,138.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,1,6250
187,Audi,SQ5 3.0T Premium Plus,2016,60000,0,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,24700
188,Mitsubishi,Lancer Evolution GSR,2012,33000,0,291.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,0,34999
190,Mercedes-Benz,Maybach S S 600,2016,108500,0,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,63500
192,Mercedes-Benz,GLS 550 Base 4MATIC,2018,74422,0,4.7 Liter Twin Turbo,Automatic,0,44798
193,Chevrolet,Blazer Premier,2019,55621,0,3.6L V6 24V GDI DOHC,9-Speed Automatic,0,34562
194,Mazda,CX-9 Grand Touring,2021,46707,0,2.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,1,32541
195,Ford,Expedition Max Limited,2022,26500,0,440.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,65900
196,Nissan,Titan XD SV,2020,10001,0,5.6L V8 32V GDI DOHC,9-Speed Automatic,0,47214
197,Lexus,LX 570 Three-Row,2019,19050,0,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,76900
198,Chevrolet,Traverse Premier,2020,52000,0,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,0,35800
199,Mercedes-Benz,Sprinter High Roof,2014,65000,1,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,7-Speed A/T,1,54999
200,BMW,X5 3.0i,2004,140000,0,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,6730
201,Ford,Fusion SE,2018,75600,0,181.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,A/T,1,14950
202,Lincoln,MKZ Base,2015,117292,0,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,0,12000
204,Genesis,G90 5.0 Ultimate,2017,26000,0,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,33600
206,Ford,Shelby GT500 Base,2014,15629,0,5.8L V8 32V MPFI DOHC Supercharged,6-Speed Manual,0,61900
207,Saturn,Sky Base,2008,15020,0,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,0,18500
209,Toyota,Land Cruiser,2016,50361,0,5.7 Liter,Automatic,0,65998
210,Mercedes-Benz,SL-Class SL 550,2013,115000,0,429.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,1,36000
211,Porsche,911 Carrera C2S,2005,28500,0,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,63500
212,Mercedes-Benz,AMG GLA 45 Base 4MATIC,2018,51700,0,375.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,0,32000
213,Ford,Taurus X Limited,2008,148949,0,263.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,0,3900
214,BMW,440 Gran Coupe i,2018,39300,0,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,31750
215,Honda,S2000 CR,2008,82323,0,237.0HP 2.2L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,28500
216,Acura,Integra w/A-Spec Tech Package,2023,3574,0,1.5 Liter Turbo,Variable,0,34998
217,Ford,Excursion Limited,2001,109357,0,310.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,0,12749
218,Mercedes-Benz,SL-Class SL500 Roadster,2004,46000,0,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,0,18853
220,INFINITI,G35 Sport,2007,37100,0,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,16900
221,Volkswagen,Golf GTI 2.0T S 4-Door,2016,89000,0,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,0,14500
222,Dodge,Challenger R/T Scat Pack,2022,1240,0,6.4L V8 16V MPFI OHV,8-Speed Automatic,0,53900
223,Lincoln,Navigator L Reserve,2019,67073,0,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,1,47999
224,Maserati,Ghibli S Q4,2015,28700,0,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,0,24900
227,Ford,Expedition Limited,2018,98995,0,3.5 Liter GTDI,Automatic,0,34998
228,Volkswagen,Routan SE,2012,123815,0,283.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,5000
230,Toyota,Highlander XLE,2020,61341,0,3.5L V6 24V PDI DOHC,8-Speed Automatic,1,34084
231,Honda,Civic LX,2016,96473,0,2.0L I4 16V MPFI DOHC,Automatic CVT,0,15599
232,Jeep,Wrangler Unlimited Sahara,2017,66107,0,3.6L V6 24V MPFI DOHC,5-Speed Automatic,0,31331
233,Land,Rover Range Rover Supercharged,2008,114287,0,400.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,0,9900
234,Acura,ILX 2.0L w/Premium Package,2015,75000,0,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,0,14500
235,BMW,M6 Base,2016,45800,0,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,0,36800
237,BMW,X6 sDrive35i,2016,70582,0,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,1,35000
